pptnum,Title,Artist,memoryage,type,vivid,memvalence,memenergy,unique,important,social,emo,emoextra,corresponding,"mydata[, 149]",danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,key_name,mode_name,key_mode,Age
1,Izzo (H.O.V.A.),Jay-Z,6,2,7,5,5,5,5,2,"2,4,17,19,23,24,38",,0,1,0.618,0.844,1,-4.051,0,0.342,0.0178,0.000126,0.0634,0.697,84.411,4h5KBcltGefua73AUPYps7,C#,minor,C# minor,28
2,Wake Me Up Before You Go-Go,Wham!,13.5,3,5,5,5,4,5,5,"8,19,23,24,27,38",Fun,1,0,0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,0ikz6tENMONtK6qGkOrU3c,C,major,C major,49
3,Moondance - 2013 Remaster,Van Morrison,19,3,7,5,5,2,5,5,"3,10,19,24,25,26",,0,0,0.606,0.282,9,-12.207,0,0.0339,0.501,8.30E-06,0.152,0.563,67.409,683b4ikwa62JevCjwrmfg6,A,minor,A minor,55
4,Terrible Love,The National,20,2,6,2,2,5,NA,3,"6,11,19,25,32,33",Longing or yearning,1,1,0.304,0.795,7,-6.023,1,0.0554,0.55,0.724,0.118,0.35,79.884,6pUAg3OgdO2kQ4lub9Tb5m,G,major,G major,33
5,Pump It Up,Elvis Costello,16,3,5,4,5,4,4,4,"4,19,26,34",,0,0,0.643,0.794,11,-7.07,1,0.0375,0.0104,0.000258,0.107,0.968,139.001,6d3cG1bgqEmEAOPsKcokLE,B,major,B major,55
6,Iris,Goo Goo Dolls,13,3,6,5,4,4,3,4,"2,6,7,8,19,20,25,32,34",,0,0,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97E-06,0.0942,0.497,155.925,6Qyc6fS4DsZjB2mRW9DsQs,B,minor,B minor,33
7,Vellai Pura Ondru (Solo),Artist: K. J. Yesudas Movie: Pudhu Kavithai (Tamil) ,8,3,6,5,5,5,5,4,"3,10,25",Fondness towards parents,1,0,0.579,0.442,0,-9.556,1,0.0296,0.883,0,0.186,0.613,115.598,5rNkU0zjV42DkyL4HdWX8W,C,major,C major,43
8,Running Up That Hill (A Deal With God),Kate bush,24,2,6,5,1,2,2,4,"3,10",,1,1,0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,1PtQJZVZIdWIYdARpZRDFO,A#,minor,A# minor,24
9,You Send Me,Sam Cooke,23.5,4,6,5,3,4,4,3,"1,2,7,10,12,17,19,24,25,32,34,35","love, appreciation, serenity, mutual affection, empathy, trust, understanding",0,0,0.553,0.291,4,-10.426,0,0.0301,0.878,0,0.129,0.407,96.217,0BFEyqJ9DJXS7gKg0Kj46R,E,minor,E minor,25
10,Summer Nights - From “Grease”,John Travolta and Olivia Newton-John,10.5,2,5,5,5,3,1,1,"19,24,32",Content,0,1,0.747,0.663,2,-9.415,1,0.0545,0.62,5.24E-05,0.0861,0.606,124.336,2AVkArcfALVk2X8sfPRzya,D,major,D major,56
11,The Ash Grove,traditional Welsh,15.5,3,7,5,1,4,5,5,"3,10,24,25","happiness, belonging, comfort, ",0,0,0.278,0.21,10,-10.137,1,0.0392,0.967,0,0.0867,0.194,99.924,1FepLDpvY7aLrWP2fCKnol,A#,major,A# major,55
12,It's All Coming Back to Me Now,Celine Dion -,12,3,5,4,3,4,4,4,"2,25",,0,0,0.384,0.438,0,-9.149,1,0.0362,0.753,0,0.101,0.287,87.903,5EQzuYfTZt7B2LqlvTF49l,C,major,C major,37
13,Jika Sempat,Hujan,22,2,6,5,5,4,4,3,"3,10,19,23,24,25,32",,1,1,0.428,0.52,4,-5.077,1,0.0292,0.243,1.68E-05,0.167,0.209,78.129,5Z1v6yFftZJ5tRDrQKWsje,E,major,E major,26
14,Closing Time,Semisonic,16,2,6,5,5,4,4,4,"13,24,25",,1,1,0.478,0.854,7,-5.454,1,0.0289,0.0204,1.21E-06,0.115,0.274,91.854,1A5V1sxyCLpKJezp75tUXn,G,major,G major,28
15,Starships,Nicki Minaj,10,2,7,4,5,5,1,5,"4,19,24",,1,1,0.747,0.716,11,-2.457,0,0.075,0.135,0,0.251,0.751,125.008,1oHNvJVbFkexQc0BpQp7Y4,B,minor,B minor,22
16,Use Somebody,Kings of Leon,19,2,5,5,5,4,4,5,"2,19,24,25,33",,1,1,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,5VGlqQANWDKJFl0MBG3sg2,C,major,C major,33
18,Just the Girl,The Click Five,7.5,2,4,2,2,1,3,2,"3,6,14,23,33",,1,1,0.571,0.89,9,-1.6,1,0.0395,0.00509,0,0.0769,0.751,110.958,1JURww012QnWAw0zZXi6Aa,A,major,A major,26
19,Miss You,Trentemøller,18,3,6,4,5,3,5,5,"2,10,19,24,25,32,33,34","Content, Happiness",1,0,0.542,0.16,7,-21.672,0,0.0365,0.946,0.928,0.263,0.198,126.921,4WTmtPRtIpjzgwBbQsMYyo,G,minor,G minor,30
20,Pulsewidth,Aphex Twin,19,2,3,4,3,3,2,3,"10,24,25,27,34",,0,1,0.765,0.486,1,-14.671,1,0.0724,0.42,0.876,0.332,0.303,119.319,643gyipSU7dkmrFhJ8UAIm,C#,major,C# major,28
21,Come Healing,Leonard Cohen,26,3,7,4,5,3,5,3,"1,2,3,6,7,10,11,13,14,16,17,20,21,22,23,24,25,26,33,37","heartbreak, sorrow, hope",1,0,0.36,0.188,5,-13.501,1,0.0366,0.893,0,0.11,0.171,101.722,0CzfRFgFqhDMNQjUm6mFPH,F,major,F major,30
22,Take a Chance on Me,JLS,14,2,7,5,3,5,4,4,"1,24,36",,0,1,0.512,0.882,0,-4.894,0,0.0551,0.0506,0,0.149,0.551,179.938,7ko4zAXLJn6NQPHpz9VYEM,C,minor,C minor,24
23,Paranoid Android,Radiohead,20,2,6,4,4,3,3,3,"2,10,19,23,24",,1,1,0.251,0.848,5,-6.501,1,0.0579,0.0377,0.00591,0.0545,0.207,163.709,6LgJvl0Xdtc73RJ1mmpotq,F,major,F major,33
24,January,Pilot,16,3,5,3,3,4,2,4,"6,8,14,19,20,25,33",,0,0,0.664,0.807,5,-5.684,1,0.0396,0.157,0,0.0788,0.917,125.295,37ncw2kChEJzbmmKMzGAoE,F,major,F major,60
25,Yellow,Coldplay,16.5,2,6,5,5,5,3,5,"1,3,7,17,19,23,24,34",love,1,1,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,3AJwUDP919kvQ9QcozQPxg,B,major,B major,38
26,Strawberry Swing,Coldplay,15,3,6,4,2,2,3,2,"2,6,10,25,27,32,33",,1,0,0.378,0.663,1,-10.476,1,0.0458,0.00722,0.797,0.191,0.428,173.136,2dphvmoLEXdk8hOYxmHlI3,C#,major,C# major,23
27,Ride of the Valkyries,not sure,9,3,6,5,4,2,3,3,4,,1,0,0.234,0.227,11,-18.535,1,0.0373,0.944,0.869,0.0854,0.0703,101.636,2A7qdr3UNP9Pxjcxa5Jj53,B,major,B major,37
28,Bicycle Race,Queen,12,3,6,5,5,4,4,4,"19,25,34",,1,0,0.385,0.555,10,-10.694,0,0.105,0.0624,0,0.0298,0.69,168.164,5rQKjP9forn7JVuiZBj6eZ,A#,minor,A# minor,42
29,Losing My Religion,rem,12,2,6,4,4,3,4,4,"19,23,24",,0,1,0.666,0.855,9,-5.051,0,0.0295,0.179,1.20E-06,0.0987,0.803,125.639,31AOj9sFz2gM0O3hMARRBx,A,minor,A minor,40
30,You Make Me Feel So Young,Frank sinatra,29,2,7,5,5,5,5,4,"1,2,7,10,17,19,24,32",,1,1,0.582,0.323,9,-8.983,1,0.038,0.689,0,0.333,0.568,124.819,6N1amIkGGddramWRDrP3Nm,A,major,A major,30
31,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,35,2,5,5,5,2,4,5,"4,19,24,25",,1,1,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25E-06,0.0925,0.341,136.571,3gdewACMIVMEWVbyb8O9sY,A#,major,A# major,44
32,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,32,2,7,5,5,5,5,5,"2,17,24,32",,1,1,0.383,0.662,2,-5.162,1,0.0333,0.165,0,0.248,0.138,121.154,225xvV8r1yKMHErSWivnow,D,major,D major,48
33,a thousand years,Christina Perri,22,2,6,5,1,4,5,3,"2,10,24",,1,1,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,6lanRgr6wXibZr8KgzXxBl,A#,major,A# major,36
34,Lost on You,LP,29,4,6,5,4,4,4,4,"10,19,32,34",,0,0,0.433,0.724,5,-6.126,0,0.0372,0.1,0,0.0918,0.689,174.006,2LIh4uzqq9cXMPzzmcToHl,F,minor,F minor,35
35,I'm Just a Kid,Simple Plan,18,2,6,5,5,3,5,5,"19,24,25,34",happiness ,1,1,0.527,0.834,1,-5.531,1,0.0447,0.00107,0.000102,0.0993,0.422,110.065,6otiaV2fagE3s8IvP6WkwG,C#,major,C# major,37
36,Born in the U.S.A.,Bruce Springsteen,24,3,4,5,3,4,3,4,32,,1,0,0.398,0.952,4,-6.042,1,0.061,0.000373,7.75E-05,0.1,0.584,122.093,0dOg1ySSI7NkpAe89Zo0b9,E,major,E major,62
37,Ticket To Ride - Remastered 2009,The Beatles,8,2,6,5,4,5,5,3,"2,4,10,19,23,24,25,34,36",No,0,1,0.519,0.85,9,-6.777,1,0.0678,0.0457,0,0.233,0.749,123.419,7CZiDzGVjUssMSOXrDNYHL,A,major,A major,39
38,Fake Plastic Trees,radiohead,34,3,5,4,4,4,5,2,"7,10,24,27",n/a,1,0,0.463,0.229,2,-12.592,1,0.0297,0.167,0.0997,0.202,0.135,73.543,73CKjW3vsUXRpy3NnX4H7F,D,major,D major,35
39,Love Will Keep Us Together,Captain and tenille,3,2,7,5,5,5,5,5,"1,19,24,34",,0,1,0.621,0.788,4,-4.326,1,0.0314,0.354,0,0.305,0.926,129.62,4pCNJwixy2ImFncaPY2yE2,E,major,E major,51
40,Making Your Mind Up,Bucksfizz,4,3,6,5,5,2,4,4,"2,4,24,25",,1,0,0.64,0.834,2,-9.413,1,0.0534,0.278,0,0.0459,0.971,173.565,0Azn2vpP3Sbs8qAG8e1KUc,D,major,D major,45
41,Touch Me In The Morning,Diana Ross,19,2,7,2,3,5,5,3,"25,32,33",Longing Hurt,0,1,0.355,0.615,6,-7.21,1,0.0314,0.454,0,0.0477,0.603,137.19,4sIkDCqNjTubfb5UVs8lEA,F#,major,F# major,56
43,I Want to Know What Love Is - 1999 Remaster,Foreigner,15,2,5,5,4,4,4,1,"4,7,17,24",,1,1,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76E-06,0.131,0.423,81.204,1JLn8RhQzHz3qDqsChcmBl,F#,major,F# major,53
44,Breaking the Habit,Linkin Park,13,3,5,4,2,3,2,3,"10,19,23,25",,1,0,0.579,0.849,4,-5.218,0,0.0303,0.108,0,0.0909,0.581,100.021,4HcDu9IGRCvSTJE4yW5Ugv,E,minor,E minor,33
45,"Sugar, We're Goin Down",Fall Out Boy,16,4,7,5,5,3,5,5,"4,7,8,10,12,19,23,25",,0,0,0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,2TfSHkHiFO4gRztVIkggkE,G,major,G major,28
46,Yesterday Once More,The Carpenters,4,4,4,5,5,2,2,2,"19,23",happy ,1,0,0.254,0.38,4,-13.806,1,0.0337,0.672,0,0.379,0.408,168.496,3wM6RTAnF7IQpMFd7b9ZcL,E,major,E major,40
